,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
4482,1950.0,14,M,Body surfing,"White shark, 3.7 m [12']  according to witnesses",SOUTH AFRICA,Y,surfing,m,14,White shark
4489,1950.0,7 or 8,M,Bending over,"Tiger shark, 3.7 m to 4.3 m  [12' to 14']",INDONESIA,Y,bending over,m,7,Tiger shark
4499,1949.0,35,M,Lying on the bottom of a 16' dinghy,"Grey nurse shark, 2.6 m [8.5']  ",AUSTRALIA,N,lying on the bottom of a 16' dinghy,m,35,Nurse shark
4500,1949.0,36,M,Free diving or wading back to shore,6' shark,AUSTRALIA,N,wading,m,36,6' shark
4502,1949.0,21,M,Swimming,,AUSTRALIA,N,swimming,m,21,
4503,1949.0,34,M,Swimming,,AUSTRALIA,Y,swimming,m,34,
4504,1949.0,17,M,Swimming,2 m shark,ITALY,,swimming,m,17,2 m shark
4505,1949.0,18,M,Swimming near shore,,AUSTRALIA,N,swimming,m,18,
4506,1949.0,21,M,Swimming,,ITALY,N,swimming,m,21,
4507,1949.0,18,M,Swimming,,IRAN,N,swimming,m,18,
4508,1949.0,18,M,Swimming,,IRAN,Y,swimming,m,18,
4509,1949.0,16,M,Floating on his back,,USA,N,floating on his back,m,16,
4510,1949.0,16,M,Fishing,"Bonita sharkk, 200-lb",USA,N,fishing,m,16,"bonita sharkk, 200-lb"
4512,1949.0,22,F,Bathing,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley",AUSTRALIA,N,bathing,f,22,"whaler shark, 2.7 m [9'], 350- to 450-lb  identified by g.p. whitley"
4513,1949.0,26,M,"Examining netted shark, that had been shot",,AUSTRALIA,N,"examining netted shark, that had been shot",m,26,
4515,1949.0,13,M,Bathing in water 0.9 m deep,"3.3 m [10'9""] shark",AUSTRALIA,Y,bathing,m,13,"3.3 m [10'9""] shark"
4518,1949.0,20,M,Lifesaving exhibition,"White shark, 3.6 m [11'9""] ",AUSTRALIA,Y,lifesaving exhibition,m,20,White shark
4519,1949.0,32,M,Surfing,Invalid,AUSTRALIA,,surfing,m,32,invalid
4526,1949.0,18,M,Spearfishing,,PAPUA NEW GUINEA,Y,spearfishing,m,18,
4529,1948.0,17,M,Swimming,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949,AUSTRALIA,Y,swimming,m,17,Tiger shark
