,Year,Age,Sex,Activity,Species,Country,Fatal_Y_N,Activity_Regex,Sex_Regex,age_regex,Species_regex
0,2018.0,57,F,Paddling,White shark,USA,N,paddling,f,57,White shark
1,2018.0,11,F,Standing,,USA,N,standing,f,11,
2,2018.0,48,M,Surfing,,USA,N,surfing,m,48,
6,2018.0,18,M,Swimming,Tiger shark,BRAZIL,Y,swimming,m,18,Tiger shark
7,2018.0,52,M,Fishing,"Lemon shark, 3'",USA,N,fishing,m,52,"lemon shark, 3'"
8,2018.0,15,M,Walking,"Bull shark, 6'",USA,N,walking,m,15,Bull shark
9,2018.0,12,M,Standing,,USA,N,standing,m,12,
10,2018.0,32,M,Feeding sharks,Grey reef shark,AUSTRALIA,N,feeding sharks,m,32,grey reef shark
11,2018.0,10,M,Boogie boarding,,USA,N,boogie boarding,m,10,
12,2018.0,10,M,Swimming,,USA,N,swimming,m,10,
13,2018.0,21,M,Fishing,Invalid incident,ENGLAND,N,fishing,m,21,invalid incident
14,2018.0,34,F,Feeding sharks,"Tawny nurse shark, 2m",AUSTRALIA,N,feeding sharks,f,34,Nurse shark
18,2018.0,30,M,Scuba diving,Tiger shark,COSTA RICA,N,scuba diving,m,30,Tiger shark
21,2018.0,60,M,Surfing,3 m shark,AUSTRALIA,N,surfing,m,60,3 m shark
23,2018.0,32,M,Fishing,Tiger shark,MALDIVES,N,fishing,m,32,Tiger shark
24,2018.0,33,M,Paddle-skiing,"White shark, 2.5 m",SOUTH AFRICA,N,paddle-skiing,m,33,White shark
25,2018.0,29,M,Body boarding,6' shark,USA,N,body boarding,m,29,6' shark
26,2018.0,54,M,Swimming,Juvenile bull shark,THAILAND,N,swimming,m,54,Bull shark
27,2018.0,34,M,Swimming,,BRAZIL,,swimming,m,34,
28,2018.0,41,M,Surfing,,AUSTRALIA,N,surfing,m,41,
29,2018.0,37,M,Surfing,,AUSTRALIA,N,surfing,m,37,
31,2018.0,56,M,Fishing,Shark involvement not confirmed,BRAZIL,N,fishing,m,56,Not a shark
33,2018.0,12,M,Swimming,Bull shark,BAHAMAS,N,swimming,m,12,Bull shark
34,2018.0,19,M,Surfing,White shark,SOUTH AFRICA,N,surfing,m,19,White shark
35,2018.0,25,M,Stand-Up Paddleboarding,"Tiger shark, 12'",USA,N,stand-up paddleboarding,m,25,Tiger shark
36,2018.0,10,M,Wading,Wobbegong shark,AUSTRALIA,N,wading,m,10,Wobbegong shark
37,2018.0,69,M,Swimming,3.5 m shark,AUSTRALIA,N,swimming,m,69,3.5 m shark
38,2018.0,18,M,Surfing,1.8 m shark,AUSTRALIA,N,surfing,m,18,1.8 m shark
39,2018.0,38,M,Scuba Diving,Blacktip shark,SOUTH AFRICA,N,scuba diving,m,38,Blacktip shark
40,2018.0,55,F,Swimming,"Juvenile white shark,  2.7 to 3.2 m",AUSTRALIA,N,swimming,f,55,White shark
41,2018.0,34,M,Kayak fishing for sharks,,AUSTRALIA,N,fishing,m,34,
42,2018.0,35,M,Walking,"Bull shark, 2 m",AUSTRALIA,N,walking,m,35,Bull shark
44,2018.0,46,F,Cleaning fish,"Injury believed caused by an eel, not a shark",BRAZIL,N,cleaning fish,f,46,"injury believed caused by an eel, not a shark"
45,2018.0,45,M,Snorkeling,Galapagos shark?,ECUADOR,N,snorkeling,m,45,galapagos shark?
46,2018.0,14,M,Spearfishing,2m shark,AUSTRALIA,N,spearfishing,m,14,2m shark
48,2018.0,40s,M,Spearfishing,"Bull shark, 3 m ",NEW CALEDONIA,N,spearfishing,m,40,Bull shark
50,2018.0,28,M,Free diving,"White shark, 3.5 m",AUSTRALIA,N,free diving,m,28,White shark
51,2018.0,20,M,Surfing,small shark,BRAZIL,N,surfing,m,20,small shark
53,2017.0,54,F,Surfing,Tiger shark,USA,N,surfing,f,54,Tiger shark
54,2017.0,35,F,Surfing,,USA,N,surfing,f,35,
55,2017.0,24,M,Fishing / Wading,Juvenile nurse shark,MALAYSIA,N,fishing,m,24,Nurse shark
56,2017.0,25,F,Snorkeling,Nurse shark. 5',BAHAMAS,N,snorkeling,f,25,Nurse shark
57,2017.0,26,M,Scuba Diving,"Tiger shark, female",COSTA RICA,N,scuba diving,m,26,Tiger shark
58,2017.0,49,F,Scuba diving,"Tiger shark, female",COSTA RICA,Y,scuba diving,f,49,Tiger shark
60,2017.0,25,M,Spearfishing,"White shark, 4.6 m",USA,N,spearfishing,m,25,White shark
61,2017.0,14,F,Surfing,,USA,N,surfing,f,14,
62,2017.0,24,M,Surfing,,,N,surfing,m,24,
63,2017.0,25,M,Surfing,2 m shark,AUSTRALIA,N,surfing,m,25,2 m shark
64,2017.0,22,M,Night bathing,Tiger shark,CUBA,Y,bathing,m,22,Tiger shark
65,2017.0,7,M,Snorkeling,Cookiecutter shark,AUSTRALIA,N,snorkeling,m,7,cookiecutter shark
66,2017.0,31,M,Surfing,"Wobbegong shark, 1 m",AUSTRALIA,N,surfing,m,31,Wobbegong shark
69,2017.0,17,M,Surfing ,,USA,N,surfing,m,17,
70,2017.0,60,F,Swimming,,USA,N,swimming,f,60,
71,2017.0,15,F,Kayaking / Fishing,"White shark, 4.5 m",AUSTRALIA,N,fishing,f,15,White shark
74,2017.0,54,M,Surfing,"Tiger shark, 8 to 10 feet",USA,N,surfing,m,54,Tiger shark
75,2017.0,40,F,Snorkeling,8' shark,USA,N,snorkeling,f,40,8' shark
76,2017.0,31,M,Scuba Diving,Death may have been due to drowning,SOUTH AFRICA,,scuba diving,m,31,death may have been due to drowning
79,2017.0,33,M,Surfing,Questionable,USA,,surfing,m,33,questionable
82,2017.0,13,M,Body surfing,"Porbeagle, 1.5 m",SPAIN,N,surfing,m,13,"porbeagle, 1.5 m"
83,2017.0,28,M,Surfing,,USA,N,surfing,m,28,
84,2017.0,25,M,Scuba Diving,,SOUTH AFRICA,,scuba diving,m,25,
87,2017.0,18,M,Surfing,5' to 6' shark,USA,N,surfing,m,18,5' to 6' shark
89,2017.0,35,M,Surfing,"White shark, 3 to 3.5m ",AUSTRALIA,N,surfing,m,35,White shark
92,2017.0,42,M,Surfing,,JAPAN,N,surfing,m,42,
95,2017.0,17,M,Surfing,,USA,N,surfing,m,17,
96,2017.0,37,M,Surfing,"White shark, 3 m",AUSTRALIA,N,surfing,m,37,White shark
97,2017.0,3,F,Wading,,USA,N,wading,f,3,
98,2017.0,11,F,Swimming,Shark involvement questionable,SPAIN,,swimming,f,11,Not a shark
100,2017.0,69,M,SUP,"White shark, 5' to 7'",USA,N,sup,m,69,White shark
102,2017.0,13,M,Swimming,Possibly a juvenile blacktip shark,USA,N,swimming,m,13,Blacktip shark
103,2017.0,20,F,Snorkeling,"Oceanic whitetip shark, 1.8 to 2 m",EGYPT,N,snorkeling,f,20,"oceanic whitetip shark, 1.8 to 2 m"
104,2017.0,34,M,Fishing,4' shark,USA,N,fishing,m,34,4' shark
106,2017.0,15,M,Skimboarding,,USA,N,skimboarding,m,15,
107,2017.0,10,M,Swimming,A small shark,USA,,swimming,m,10,a small shark
111,2017.0,37,M,Surfing,,"ST HELENA, British overseas territory",N,surfing,m,37,
115,2017.0,8,F,Swimming,Shark involvement not confirmed,USA,,swimming,f,8,Not a shark
116,2017.0,40,M,Kayaking,"White shark, 11' to 13'",USA,N,kayaking,m,40,White shark
117,2017.0,50,M,SUP,"White shark, 8' to 10'",USA,N,sup,m,50,White shark
121,2017.0,46,M,Swimming,"Bull shark, 4' to 5'",USA,N,swimming,m,46,Bull shark
122,2017.0,32,M,Fishing,"Tiger shark, 100 kg",MEXICO,N,fishing,m,32,Tiger shark
123,2017.0,13,F,Surfing,"White shark, 2.5 m",SOUTH AFRICA,N,surfing,f,13,White shark
126,2017.0,16,F,Swimming,,USA,N,swimming,f,16,
128,2017.0,14,F,Swimming,"Bull shark, 4' to 5'",USA,N,swimming,f,14,Bull shark
129,2017.0,34,M,Body boarding,"Bull shark, 2m",REUNION,N,body boarding,m,34,Bull shark
130,2017.0,82,M,Swimming,,SPAIN,N,swimming,m,82,
133,2017.0,48,M,Body boarding,"White shark, 4 m",AUSTRALIA,N,body boarding,m,48,White shark
135,2017.0,19,M,Surfing,,USA,N,surfing,m,19,
136,2017.0,30,M,Surfing ,"3m shark, probably a smooth hound",UNITED KINGDOM,N,surfing,m,30,"3m shark, probably a smooth hound"
138,2017.0,32,F,Snorkeling,Tiger shark,BAHAMAS,N,snorkeling,f,32,Tiger shark
139,2017.0,20,F,Touching a shark,3' shark,USA,N,touching a shark,f,20,3' shark
141,2017.0,73,M,Fishing ,,AUSTRALIA,N,fishing,m,73,
142,2017.0,41,M,Spearfishing,,UNITED ARAB EMIRATES,N,spearfishing,m,41,
143,2017.0,29,M,Attempting to lasso a shark,9' shark,AUSTRALIA,N,attempting to lasso a shark,m,29,9' shark
144,2017.0,33,M,Snorkeling,,MEXICO,Y,snorkeling,m,33,
145,2017.0,18,F,Surfing,Shark involvement highly doubtful,USA,,surfing,f,18,Not a shark
147,2017.0,14,M,Surfing,,SOUTH AFRICA,N,surfing,m,14,
148,2017.0,33,F,Surfing,,USA,N,surfing,f,33,
149,2017.0,28,M,Body boarding,,REUNION,Y,body boarding,m,28,
150,2017.0,20s,F,Body boarding,,NEW ZEALAND,N,body boarding,f,20,
152,2017.0,40,F,Snorkeling,,"ST HELENA, British overseas territory",N,snorkeling,f,40,
155,2017.0,17,F,Surfing,White shark,AUSTRALIA,Y,surfing,f,17,White shark
156,2017.0,28,M,Surfing,"Tiger shark, 12'",USA,N,surfing,m,28,Tiger shark
157,2017.0,17,M,Surfing,,USA,N,surfing,m,17,
159,2017.0,68,M,Scuba Diving,Shark involvement prior to death not confirmed,SOUTH AFRICA,,scuba diving,m,68,Not a shark
160,2017.0,35,F,Surfing,,USA,N,surfing,f,35,
161,2017.0,10,F,Paddle boarding,,USA,N,paddle boarding,f,10,
162,2017.0,21,F,Swimming,,USA,N,swimming,f,21,
163,2017.0,16,M,Swimming,,USA,N,swimming,m,16,
164,2017.0,51,F,Swimming,,USA,N,swimming,f,51,
165,2017.0,39,M,Kakaying,,AUSTRALIA,N,kakaying,m,39,
166,2017.0,17,F,Swimming,"Bull shark, 5' to 7'",USA,N,swimming,f,17,Bull shark
167,2017.0,58,M,Surfing,,USA,N,surfing,m,58,
168,2017.0,30,M,Body boarding,,AUSTRALIA,N,body boarding,m,30,
170,2017.0,25,M,Spearfishing,10' shark,PHILIPPINES,N,spearfishing,m,25,10' shark
171,2017.0,58,M,Washing hands,Lemon shark,BAHAMAS,N,washing hands,m,58,lemon shark
174,2017.0,26,M,Body boarding,,REUNION,Y,body boarding,m,26,
175,2017.0,26,M,Spearfishing,,AUSTRALIA,N,spearfishing,m,26,
176,2017.0,22,M,Swimming,,USA,N,swimming,m,22,
180,2017.0,37,M,Scuba Diving,Caribbean reef shark,BAHAMAS,N,scuba diving,m,37,caribbean reef shark
181,2017.0,21,M,Swimming,,BRAZIL,N,swimming,m,21,
183,2017.0,55,M,Scuba Diving,"Bull shark, 4 m",AUSTRALIA,N,scuba diving,m,55,Bull shark
184,2017.0,57,M,Swimming,,AUSTRALIA,N,swimming,m,57,
186,2017.0,48,M,Surfing,"Bull shark, 1 m",INDONESIA,N,surfing,m,48,Bull shark
187,,35,M,Spearfishing,Bull shark,AUSTRALIA,,spearfishing,m,35,Bull shark
188,2017.0,47,M,Wading,,USA,N,wading,m,47,
189,2017.0,20,M,Wading,Shark involvement not confirmed,AUSTRALIA,,wading,m,20,Not a shark
190,2016.0,16,M,Surfing,,USA,N,surfing,m,16,
192,2016.0,55,M,Surf skiing ,"White shark, 4 m",SOUTH AFRICA,N,surf skiing ,m,55,White shark
193,2016.0,61,M,Free diving,,AUSTRALIA,N,free diving,m,61,
194,2016.0,40s,M,Fishing,,FRENCH POLYNESIA,N,fishing,m,40,
195,2016.0,19,M,Surfing,Shark involvement not confirmed,USA,,surfing,m,19,Not a shark
196,2016.0,20,M,Surf fishing,"Wobbegong shark, 2m",AUSTRALIA,N,fishing,m,20,Wobbegong shark
197,2016.0,65,M,Surfing,White shark,AUSTRALIA,N,surfing,m,65,White shark
198,2016.0,73,M,Fishing,"Broadnose sevengill shark, 1.5 m",AUSTRALIA,N,fishing,m,73,"broadnose sevengill shark, 1.5 m"
199,2016.0,58,F,Floating,Tiger shark,USA,N,floating,f,58,Tiger shark
200,2016.0,41,M,Surfing,,USA,N,surfing,m,41,
201,2016.0,42,M,Surfing,,USA,N,surfing,m,42,
202,2016.0,36,M,Surfing,,AUSTRALIA,N,surfing,m,36,
203,2016.0,36,M,Surfing, 6' to 8' shark,USA,N,surfing,m,36, 6' to 8' shark
205,2016.0,66,F,Snorkeling,,USA,N,snorkeling,f,66,
207,2016.0,25,M,Surfing,,AUSTRALIA,N,surfing,m,25,
208,2016.0,29,M,Surfing,,USA,N,surfing,m,29,
209,2016.0,21,M,Surfing,,USA,N,surfing,m,21,
210,2016.0,32,M,Surfng,,USA,N,surfng,m,32,
211,2016.0,17,M,Surfing,"White shark, 3.5 m",AUSTRALIA,N,surfing,m,17,White shark
212,2016.0,16,M,Surfing,,USA,N,surfing,m,16,
213,2016.0,36,M,Surfing,,USA,N,surfing,m,36,
214,2016.0,43,M,Surfing,,USA,N,surfing,m,43,
215,2016.0,43,M,Surfing,,USA,N,surfing,m,43,
219,2016.0,60s,M,Wading,3' to 4' shark,USA,N,wading,m,60,3' to 4' shark
220,2016.0,51,F,Swimming,"Tiger shark, 10'",USA,N,swimming,f,51,Tiger shark
221,2016.0,50,M,Kite surfing,,NEW CALEDONIA,Y,surfing,m,50,
222,2016.0,12,F,Boogie boarding,,USA,N,boogie boarding,f,12,
224,2016.0,9,M,Body boarding,,USA,N,body boarding,m,9,
225,2016.0,22,M,Spearfishing,"White shark, 8' to 10'",USA,N,spearfishing,m,22,White shark
227,2016.0,25,M,Surfing,"Bull shark, 6'",USA,N,surfing,m,25,Bull shark
228,2016.0,37,M,Surfing,,USA,N,surfing,m,37,
229,2016.0,20,M,Surfing,"Bull shark, 3.5 m",REUNION,N,surfing,m,20,Bull shark
230,2016.0,49,M,Wading,,USA,N,wading,m,49,
231,2016.0,15,M,Snorkeling,,BAHAMAS,N,snorkeling,m,15,
232,2016.0,21,M,SUP Foil boarding,"Tiger shark, 10' ",USA,N,sup foil boarding,m,21,Tiger shark
233,2016.0,22,M,Surfing,Blacktip shark,USA,N,surfing,m,22,Blacktip shark
234,2016.0,40,M,Swimming,Blue shark,SPAIN,N,swimming,m,40,Blue shark
235,2016.0,72,M,Swimming,,CHINA,N,swimming,m,72,
237,2016.0,43,M,Lobstering,"Nurse shark, 4'",USA,N,lobstering,m,43,Nurse shark
238,2016.0,18,M,Surfing,,AUSTRALIA,N,surfing,m,18,
239,2016.0,29,M,Surfing,,JAPAN,N,surfing,m,29,
240,2016.0,36,M,Surfing,,AUSTRALIA,N,surfing,m,36,
242,2016.0,31,M,Fishing,"reef shark, 1m",AUSTRALIA,N,fishing,m,31,"reef shark, 1m"
244,2016.0,9,F,Surfing,,USA,N,surfing,f,9,
246,2016.0,61,M,Kite surfing,"White shark, 10' to 12'",USA,N,surfing,m,61,White shark
249,2016.0,10,F,Wading,Angel shark,SPAIN,N,wading,f,10,angel shark
251,2016.0,59,M,Fishing,dogfish shark,USA,N,fishing,m,59,dogfish shark
253,2016.0,42,F,Swimming,,USA,N,swimming,f,42,
254,2016.0,34,M,Fishing,Tawny nurse shark,AUSTRALIA,N,fishing,m,34,Nurse shark
256,2016.0,11,M,Surfing,,USA,N,surfing,m,11,
257,2016.0,59,M,Scuba Diving,"Caribbean reef shark, 4.5'",COLUMBIA,N,scuba diving,m,59,"caribbean reef shark, 4.5'"
258,2016.0,43,M,Spearfishing,White shark,SOUTH AFRICA,N,spearfishing,m,43,White shark
259,2016.0,42,M,Floating,3' to 5' shark,USA,N,floating,m,42,3' to 5' shark
262,2016.0,19,M,Spearfishing,5' shark,AUSTRALIA,N,spearfishing,m,19,5' shark
263,2016.0,6,F,Floating in tube,3' to 4' shark,USA,N,floating in tube,f,6,3' to 4' shark
264,2016.0,19,M,Standing,3' shark,USA,N,standing,m,19,3' shark
265,2016.0,27,M,Surfing,Said to involve an 8' shark but more likely damage caused by debris,USA,,surfing,m,27,said to involve an 8' shark but more likely damage caused by debris
266,2016.0,64,M,Swimming,,USA,N,swimming,m,64,
267,2016.0,60,F,Diving,3+ m shark,AUSTRALIA,Y,diving,f,60,3+ m shark
268,2016.0,23,M,Swimming,Mako shark,EGYPT,N,swimming,m,23,Mako shark
271,2016.0,29,M,Surfing,White shark,AUSTRALIA,Y,surfing,m,29,White shark
272,2016.0,52,F,Swimming,,USA,N,swimming,f,52,
273,2016.0,13,M,Swimming,5' shark,USA,N,swimming,m,13,5' shark
274,2016.0,57,F,Swimming,,USA,N,swimming,f,57,
275,2016.0,22,F,Swimming,"Bull shark, 4' to 5'",USA,N,swimming,f,22,Bull shark
276,2016.0,11,F,Swimming,,USA,N,swimming,f,11,
277,2016.0,48,M,Swimming,"Blacktip shark, 4'",USA,N,swimming,m,48,Blacktip shark
278,2016.0,23,F,Teasing a shark,"Nurse shark, 2'",USA,N,teasing a shark,f,23,Nurse shark
279,2016.0,59,M,Floating,,USA,N,floating,m,59,
280,2016.0,39,M,Fishing,"Mako shark, 1.5 m [5'] ",NEW ZEALAND,N,fishing,m,39,Mako shark
281,2016.0,24,M,Surfing,"Bull shark, 6'",INDONESIA,N,surfing,m,24,Bull shark
282,2016.0,15,M,Surfing,,USA,N,surfing,m,15,
284,2016.0,12,M,Swimming,Wobbegong shark,AUSTRALIA,N,swimming,m,12,Wobbegong shark
285,2016.0,22,M,Spearfishing,"Grey reef shark, 2 m",FRENCH POLYNESIA,M,spearfishing,m,22,"grey reef shark, 2 m"
286,2016.0,26,M,Spearfishing,"Grey reef shark, 2 m",FRENCH POLYNESIA,N,spearfishing,m,26,"grey reef shark, 2 m"
287,2016.0,26,M,Spearfishing,"Bull shark, 7'",USA,N,spearfishing,m,26,Bull shark
288,2016.0,69,F,Walking,"Tiger shark, 2.5 m",NEW CALEDONIA,Y,walking,f,69,Tiger shark
290,2016.0,34,M,Fishing,5' to 6' shark,USA,N,fishing,m,34,5' to 6' shark
292,2016.0,46,F,Snorkeling,,USA,N,snorkeling,f,46,
293,2016.0,22,M,Surfing,,AUSTRALIA,N,surfing,m,22,
295,2016.0,41,M,Surfing,,AUSTRALIA,N,surfing,m,41,
298,2016.0,19,M,Body surfing,,USA,N,surfing,m,19,
299,2016.0,45,M,Diving for beche-de-mer,,Fiji,Y,diving for beche-de-mer,m,45,
302,2016.0,41,M,Swimming,Sandtiger shark,BRAZIL,N,swimming,m,41,sandtiger shark
303,2016.0,21,M,Kite surfing,,NEW CALEDONIA,N,surfing,m,21,
304,2016.0,31,M,Spearfishing,,NEW CALEDONIA,N,spearfishing,m,31,
306,2016.0,65,M,Feeding stingrays?,No shark involvement,CAYMAN ISLANDS,,feeding stingrays?,m,65,Not a shark
308,2016.0,45,F,Walking,,AUSTRALIA,N,walking,f,45,
309,2016.0,40,M,Windsurfing,,AUSTRALIA,N,windsurfing,m,40,
310,2016.0,41,M,Swimming,Sandtiger shark,BRAZIL,N,swimming,m,41,sandtiger shark
313,2016.0,15,F,Surfing,,USA,N,surfing,f,15,
316,2016.0,48,M,Paddle boarding,"Tiger shark, 14'",USA,N,paddle boarding,m,48,Tiger shark
318,2016.0,11,M,Wading,Blacktip shark,AUSTRALIA,N,wading,m,11,Blacktip shark
319,2016.0,31,M,Spearfishing,3 m shark,AUSTRALIA,N,spearfishing,m,31,3 m shark
321,2015.0,38,F,Swimming,"Silky shark, 6.5'",SPAIN,N,swimming,f,38,"silky shark, 6.5'"
322,2015.0,71,M,Paddle boarding,9' shark,USA,N,paddle boarding,m,71,9' shark
323,2015.0,43,M,Surfing,"Bronze whaler shark, 6'",AUSTRALIA,N,surfing,m,43,Bronze whaler shark
324,2015.0,32,M,Scuba diving,"Tiger shark, 1.5 m ",BRAZIL,N,scuba diving,m,32,Tiger shark
325,2015.0,58,M,Sea disaster,,ARUBA,Y,sea disaster,m,58,
327,2015.0,26,M,Lobster fishing,Bull shark,BAHAMAS,N,fishing,m,26,Bull shark
328,2015.0,22,F,Swimming / Wading,,SOUTH AFRICA,N,swimming,f,22,
329,2015.0,55,M,Snorkeling,Galapagos shark,ECUADOR,N,snorkeling,m,55,galapagos shark
332,2015.0,28,M,Surfing,"Spinner shark, 7'",USA,N,surfing,m,28,"spinner shark, 7'"
333,2015.0,20,M,Surfing,"Bull shark, 2.8 to 3.1 m",AUSTRALIA,N,surfing,m,20,Bull shark
334,2015.0,9,F,Surfing,Shark involvement not confirmed,USA,,surfing,f,9,Not a shark
335,2015.0,54,M,Swimming,,USA,N,swimming,m,54,
336,2015.0,28,F,Wading,3' to 5' shark,USA,N,wading,f,28,3' to 5' shark
337,2015.0,19,M,Fishing,,MOZAMBIQUE,N,fishing,m,19,
338,2015.0,50,M,Spearfishing,,AUSTRALIA,N,spearfishing,m,50,
339,2015.0,10,M,Body boarding,,USA,N,body boarding,m,10,
340,2015.0,42,M,Surfing,"White shark, 3 to 3.5m ",SOUTH AFRICA,N,surfing,m,42,White shark
341,2015.0,21,M,Surfing,5' shark,USA,N,surfing,m,21,5' shark
342,2015.0,21,M,Surfing,"Spinner shark, 5'",USA,N,surfing,m,21,"spinner shark, 5'"
343,2015.0,35,F,Fishing for shrimp,,MOZAMBIQUE,Y,fishing,f,35,
344,2015.0,32,M,Surfing,No shark involvement,USA,,surfing,m,32,Not a shark
345,2015.0,44,M,Swimming,"Tiger shark, 7'",USA,N,swimming,m,44,Tiger shark
347,2015.0,9,F,Boogie boarding,,USA,N,boogie boarding,f,9,
348,2015.0,25,M,Surfing,"Tiger shark, 13' ",USA,N,surfing,m,25,Tiger shark
350,2015.0,18,M,Surfing,,AUSTRALIA,N,surfing,m,18,
351,2015.0,22,M,Body boarding,,USA,N,body boarding,m,22,
352,2015.0,13,M,Wading,4' to 5' shark,USA,N,wading,m,13,4' to 5' shark
353,2015.0,14,M,Surfing,"Blacktip shark, 4' to 5'",USA,N,surfing,m,14,Blacktip shark
354,2015.0,22,M,Surfing,"Blacktip shark, 5' to 6'",USA,N,surfing,m,22,Blacktip shark
355,2015.0,7,F,Snorkeling,,AUSTRALIA,N,snorkeling,f,7,
357,2015.0,14,M,Surfing,juvenile shark,USA,N,surfing,m,14,juvenile shark
358,2015.0,27,M,Spearfishing,"Tiger shark, 13'",USA,N,spearfishing,m,27,Tiger shark
359,2015.0,12,M,Wading,4' shark,USA,N,wading,m,12,4' shark
360,2015.0,16,M,Photographing fish,,USA,N,photographing fish,m,16,
363,2015.0,20,M,Surfing,,USA,N,surfing,m,20,
364,2015.0,42,M,Surfing,6' shark,AUSTRALIA,N,surfing,m,42,6' shark
365,2015.0,50,F,Stand-Up Paddleboarding,"White shark, 11' to 12'",USA,N,stand-up paddleboarding,f,50,White shark
366,2015.0,29,M,Kayak Fishing,Hammerhead shark.,USA,N,fishing,m,29,Hammerhead shark
367,2015.0,62,M,Surf-skiing,"White shark, 2.5 m",AUSTRALIA,N,surf-skiing,m,62,White shark
369,2015.0,37,F,Wading,small shark,THAILAND,N,wading,f,37,small shark
371,2015.0,54,F,Surfing,"White shark, 11' to 12'",USA,N,surfing,f,54,White shark
372,2015.0,21,M,Surfing,"White shark, 10' to 12' ",USA,N,surfing,m,21,White shark
374,2015.0,38,M,Surfing,,AUSTRALIA,N,surfing,m,38,
375,2015.0,15,M,Surfing,4' shark,USA,N,surfing,m,15,4' shark
376,2015.0,10,F,Walking,3' shark,USA,N,walking,f,10,3' shark
377,2015.0,22,M,Kayak Fishing,"White shark, 13'",USA,N,fishing,m,22,White shark
378,2015.0,10,M,Swimming,Shark involvement not confirmed,SPAIN,,swimming,m,10,Not a shark
379,2015.0,57,M,Spearfishing,Hammerhead shark. 6' to 7',USA,N,spearfishing,m,57,Hammerhead shark
380,2015.0,52,M,Surfing,White shark,AUSTRALIA,N,surfing,m,52,White shark
381,2015.0,47,M,Surfing,,COSTA RICA,N,surfing,m,47,
382,2015.0,40,M,Surfing,,AUSTRALIA,,surfing,m,40,
383,2015.0,25,M,Surfing,"Blacktip or spinner shark, 4'",USA,N,surfing,m,25,Blacktip shark
384,2015.0,35,F,Floating,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",USA,,floating,f,35,Not a shark
385,2015.0,46,M,Scallop diving on hookah,"White shark, 3.9 to 4.2 m",AUSTRALIA,Y,scallop diving on hookah,m,46,White shark
386,2015.0,31,M,Kayak Fishing,"Mako shark, 100-lb",USA,N,fishing,m,31,Mako shark
387,2015.0,40,M,Surfing,"Bronze whaler shark, 1.5m",AUSTRALIA,N,surfing,m,40,Bronze whaler shark
388,2015.0,45,M,Surfing,"Bull shark, 2m",REUNION,N,surfing,m,45,Bull shark
389,2015.0,34,M,Surfing,White shark,SOUTH AFRICA,N,surfing,m,34,White shark
390,2015.0,38,M,Surfing,"White shark, 7'",USA,N,surfing,m,38,White shark
391,2015.0,39,M,Treading water,Shark involvement not cofirmed,USA,,treading water,m,39,Not a shark
393,2015.0,23,F,Spearfishing,6' shark,BAHAMAS,N,spearfishing,f,23,6' shark
395,2015.0,52,M,Surfing,White shark,AUSTRALIA,N,surfing,m,52,White shark
396,2015.0,32,M,Body boarding ,White shark,AUSTRALIA,N,body boarding,m,32,White shark
397,2015.0,68,M,Swimming,6' to 7' shark,USA,N,swimming,m,68,6' to 7' shark
399,2015.0,12,M,Playing in the water,4' to 5' shark,USA,N,playing in the water,m,12,4' to 5' shark
400,2015.0,18,M,Swimming,Bull shark,USA,N,swimming,m,18,Bull shark
401,2015.0,19,M,Body Boarding,White shark,SOUTH AFRICA,N,body boarding,m,19,White shark
403,2015.0,23,M,Surfing,"White shark, 2m to 3 m",SOUTH AFRICA,N,surfing,m,23,White shark
404,2015.0,43,M,Standing,4' shark,USA,N,standing,m,43,4' shark
405,2015.0,19,M,Swimming,Wobbegong shark,AUSTRALIA,N,swimming,m,19,Wobbegong shark
406,2015.0,47,M,Body surfing?,,USA,N,surfing,m,47,
407,2015.0,6,M,Swimming,Sandtiger shark,USA,N,swimming,m,6,sandtiger shark
408,2015.0,37,F,Surfing,White shark,AUSTRALIA,N,surfing,f,37,White shark
409,2015.0,9,M,Standing,small shark,USA,N,standing,m,9,small shark
410,2015.0,36,M,Spearfishing,,PUERTO RICO,N,spearfishing,m,36,
411,2015.0,10,M,Swimming,,USA,N,swimming,m,10,
412,2015.0,16,M,Wading,Bull shark,USA,N,wading,m,16,Bull shark
413,2015.0,12,F,Wading,Bull shark,USA,N,wading,f,12,Bull shark
415,2015.0,13,F,Boogie boarding,4' shark,USA,N,boogie boarding,f,13,4' shark
416,2015.0,11,M,Playing,"Bull shark, 5'",USA,N,playing,m,11,Bull shark
417,2015.0,17,F,Attempting to rescue a shark,small nurse shark,USA,N,attempting to rescue a shark,f,17,Nurse shark
418,2015.0,47,M,Surfing,"Bull shark, 2.5 m",REUNION,N,surfing,m,47,Bull shark
419,2015.0,14,F,Standing,,USA,N,standing,f,14,
420,2015.0,19,F,Wading,,USA,N,wading,f,19,
421,2015.0,19,M,Spearfishing,1m to 1.2 m shark,FRENCH POLYNESIA,N,spearfishing,m,19,1m to 1.2 m shark
422,2015.0,13,F,Swimming,,USA,N,swimming,f,13,
423,2015.0,18,M,Surfing,5' shark,USA,N,surfing,m,18,5' shark
425,2015.0,50,M,Snorkeling,"Bull shark, 3.5 m",NEW CALEDONIA,Y,snorkeling,m,50,Bull shark
428,2015.0,29,M,Diving,"White shark, 3.5 m",SOUTH AFRICA,N,diving,m,29,White shark
429,2015.0,65,F,Snorkeling,,USA,Y,snorkeling,f,65,
